
=== LR(1) Transition Table (1614 entries) ===
  State 90 --( Factor )--> State 4
  State 90 --( ( )--> State 76
  State 90 --( integer )--> State 6
  State 90 --( floating )--> State 7
  State 90 --( name )--> State 77
  State 90 --( litstring )--> State 9
  State 90 --( true )--> State 10
  State 90 --( false )--> State 11
  State 90 --( Access )--> State 78
  State 90 --( AccessBase )--> State 79
  State 90 --( Identifier )--> State 80
  State 90 --( Relation )--> State 156
  State 91 --( && )--> State 90
  State 92 --( * )--> State 41
  State 92 --( / )--> State 42
  State 93 --( * )--> State 41
  State 93 --( / )--> State 42
  State 97 --( Eval )--> State 44
  State 97 --( Term )--> State 45
  State 97 --( Factor )--> State 46
  State 97 --( ( )--> State 47
  State 97 --( integer )--> State 48
  State 97 --( floating )--> State 49
  State 97 --( name )--> State 50
  State 97 --( litstring )--> State 51
  State 97 --( true )--> State 52
  State 97 --( false )--> State 53
  State 97 --( Access )--> State 54
  State 97 --( AccessBase )--> State 55
  State 97 --( Identifier )--> State 56
  State 97 --( Relation )--> State 57
  State 97 --( LogAnd )--> State 157
  State 98 --( Term )--> State 158
  State 98 --( Factor )--> State 46
  State 98 --( ( )--> State 47
  State 98 --( integer )--> State 48
  State 98 --( floating )--> State 49
  State 98 --( name )--> State 50
  State 98 --( litstring )--> State 51
  State 98 --( true )--> State 52
  State 98 --( false )--> State 53
  State 98 --( Access )--> State 54
  State 98 --( AccessBase )--> State 55
  State 98 --( Identifier )--> State 56
  State 99 --( Term )--> State 159
  State 99 --( Factor )--> State 46
  State 99 --( ( )--> State 47
  State 99 --( integer )--> State 48
  State 99 --( floating )--> State 49
  State 99 --( name )--> State 50
  State 99 --( litstring )--> State 51
  State 99 --( true )--> State 52
  State 99 --( false )--> State 53
  State 99 --( Access )--> State 54
  State 99 --( AccessBase )--> State 55
  State 99 --( Identifier )--> State 56
  State 100 --( Factor )--> State 160
  State 100 --( ( )--> State 47
  State 100 --( integer )--> State 48
  State 100 --( floating )--> State 49
  State 100 --( name )--> State 50
  State 100 --( litstring )--> State 51
  State 100 --( true )--> State 52
  State 100 --( false )--> State 53
  State 100 --( Access )--> State 54
  State 100 --( AccessBase )--> State 55
  State 100 --( Identifier )--> State 56
  State 101 --( Factor )--> State 161
  State 101 --( ( )--> State 47
  State 101 --( integer )--> State 48
  State 101 --( floating )--> State 49
  State 101 --( name )--> State 50
  State 101 --( litstring )--> State 51
  State 101 --( true )--> State 52
  State 101 --( false )--> State 53
  State 101 --( Access )--> State 54
  State 101 --( AccessBase )--> State 55
  State 101 --( Identifier )--> State 56
  State 102 --( ) )--> State 162
  State 102 --( || )--> State 97
  State 103 --( Expr )--> State 108
  State 103 --( Eval )--> State 109
  State 103 --( Term )--> State 110
  State 103 --( Factor )--> State 111
  State 103 --( ( )--> State 112
  State 103 --( integer )--> State 113
  State 103 --( floating )--> State 114
  State 103 --( name )--> State 115
  State 103 --( litstring )--> State 116
  State 103 --( true )--> State 117
  State 103 --( false )--> State 118
  State 103 --( Access )--> State 119
  State 103 --( AccessBase )--> State 120
  State 103 --( Args )--> State 163
  State 103 --( ArgList )--> State 122
  State 103 --( Identifier )--> State 123
  State 103 --( Relation )--> State 124
  State 103 --( LogAnd )--> State 125
  State 104 --( Expr )--> State 164
  State 104 --( Eval )--> State 127
  State 104 --( Term )--> State 128
  State 104 --( Factor )--> State 129
  State 104 --( ( )--> State 130
  State 104 --( integer )--> State 131
  State 104 --( floating )--> State 132
  State 104 --( name )--> State 133
  State 104 --( litstring )--> State 134
  State 104 --( true )--> State 135
  State 104 --( false )--> State 136
  State 104 --( Access )--> State 137
  State 104 --( AccessBase )--> State 138
  State 104 --( Identifier )--> State 139
  State 104 --( Relation )--> State 140
  State 104 --( LogAnd )--> State 141
  State 105 --( name )--> State 50
  State 105 --( Identifier )--> State 165
  State 106 --( Eval )--> State 166
  State 106 --( Term )--> State 45
  State 106 --( Factor )--> State 46
  State 106 --( ( )--> State 47
  State 106 --( integer )--> State 48
