
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T8   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
45    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | s100 | s101 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
46    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
47    |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 102  | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 57   | 58   |      |      |      |      |      |      |      |      |      |      |      |      |      |
48    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
49    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
50    |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
51    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
52    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
53    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
54    |      |      | s103 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | s104 | s105 |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
