
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T8   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
88    |      |      | r80  | r80  | r80  | r80  | r80  | r80  | r80  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
89    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 155  | 3    | 4    | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
90    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 2    | 3    | 4    | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   | 156  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
91    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r50  |      |      |      |      |      |      |      |      |      |      |      |      | r50  |      |      |      |      |      | s90  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
92    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r56  | r56  | r56  | s41  | s42  |      |      |      |      |      |      |      |      | r56  | r56  | r56  | r56  | r56  | r56  | r56  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
93    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r57  | r57  | r57  | s41  | s42  |      |      |      |      |      |      |      |      | r57  | r57  | r57  | r57  | r57  | r57  | r57  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
94    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r59  | r59  | r59  | r59  | r59  |      |      |      |      |      |      |      |      | r59  | r59  | r59  | r59  | r59  | r59  | r59  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
95    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r60  | r60  | r60  | r60  | r60  |      |      |      |      |      |      |      |      | r60  | r60  | r60  | r60  | r60  | r60  | r60  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
96    |      |      | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
97    |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 57   | 157  |      |      |      |      |      |      |      |      |      |      |      |      |      |
98    |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 158  | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
99    |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 159  | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
100   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 160  | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
101   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 161  | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
102   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s97  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s162 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
103   |      |      | s112 | s113 | s114 | s115 | s116 | s117 | s118 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r42  |      |      |      |      |      |      |      |      |      |      | 108  | 109  | 110  | 111  | 119  | 120  |      |      |      |      |      |      |      |      |      |      |      |      |      | 123  | 124  | 125  |      |      |      | 163  | 122  |      |      |      |      |      |      |      |      |
104   |      |      | s130 | s131 | s132 | s133 | s134 | s135 | s136 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 164  | 127  | 128  | 129  | 137  | 138  |      |      |      |      |      |      |      |      |      |      |      |      |      | 139  | 140  | 141  |      |      |      |      |      |      |      |      |      |      |      |      |      |
105   |      |      |      |      |      | s50  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 165  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
106   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 166  | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
107   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 167  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
108   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s168 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r44  | r44  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
109   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s169 | s170 |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
110   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | s171 | s172 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
111   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
112   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 173  | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 57   | 58   |      |      |      |      |      |      |      |      |      |      |      |      |      |
113   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
114   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
115   |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
116   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
117   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
118   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
119   |      |      | s174 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | s175 | s176 |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
120   |      |      | r72  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r72  | r72  | r72  | r72  | r72  | r72  | r72  |      |      |      |      |      |      |      | r72  | r72  | r72  | r72  | r72  | r72  | r72  | r72  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
121   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s177 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
122   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r41  | s178 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
123   |      |      | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
124   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      | s84  | s85  | s86  | s87  | s88  | r53  | r53  | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 179  |      |      |      |      |      |      |      |      |      |      |
125   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s180 | r51  | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
126   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s182 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s181 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
127   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s183 | s184 |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  |      |      | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
128   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | s185 | s186 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
129   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  |      |      | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
130   |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 187  | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 57   | 58   |      |      |      |      |      |      |      |      |      |      |      |      |      |
131   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
132   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  |      |      | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
133   |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
134   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
135   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
136   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
137   |      |      | s188 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | s189 | s190 |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | r62  |      |      | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
138   |      |      | r72  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r72  | r72  | r72  | r72  | r72  | r72  | r72  |      |      |      |      |      |      |      | r72  | r72  | r72  | r72  | r72  | r72  |      |      | r72  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
139   |      |      | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  |      |      | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
140   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      | s84  | s85  | s86  | s87  | s88  | r53  |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 191  |      |      |      |      |      |      |      |      |      |      |
141   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s192 |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
142   |      |      | r71  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r71  | r71  | r71  | r71  | r71  | r71  | r71  | r71  |      |      |      |      |      | r71  | r71  | r71  | r71  | r71  | r71  | r71  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
143   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s38  |      |      |      |      |      |      |      |      |      |      |      |      | r29  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
144   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s97  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s193 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
145   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s97  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s194 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
146   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s195 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
147   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  |      |      |      |      |      |      |      |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
148   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s196 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
149   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r21  |      |      |      |      |      |      |      |      |      | s197 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
150   |      |      |      |      |      | s198 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r46  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 202  |      |      |      |      |      |      |      | 199  | 200  | 201  |      |      |      |      |      |
151   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s97  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s203 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
152   |      |      | s112 | s113 | s114 | s115 | s116 | s117 | s118 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r42  |      |      |      |      |      |      |      |      |      |      | 108  | 109  | 110  | 111  | 119  | 120  |      |      |      |      |      |      |      |      |      |      |      |      |      | 123  | 124  | 125  |      |      |      | 204  | 122  |      |      |      |      |      |      |      |      |
153   |      |      | s130 | s131 | s132 | s133 | s134 | s135 | s136 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 205  | 127  | 128  | 129  | 137  | 138  |      |      |      |      |      |      |      |      |      |      |      |      |      | 139  | 140  | 141  |      |      |      |      |      |      |      |      |      |      |      |      |      |
154   |      |      |      |      |      | s77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 206  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
155   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r54  | s39  | s40  |      |      |      |      |      |      |      |      |      |      | r54  | r54  | r54  | r54  | r54  | r54  | r54  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
156   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r52  |      |      |      |      |      |      |      |      |      |      |      |      | r52  | s84  | s85  | s86  | s87  | s88  | r52  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 89   |      |      |      |      |      |      |      |      |      |      |
157   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r50  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s107 | r50  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
158   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r56  | r56  | r56  | s100 | s101 |      |      |      |      |      |      |      |      |      | r56  | r56  | r56  | r56  | r56  | r56  | r56  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
